antwortid;LegalForm;GroupMember;ForeignCompany;Income;AllIndustry;TaxAudit5Y;TaxAudit10Y;ForeignTaxAudit;A1_1_01;A1_1_02;A1_1_03;A1_1_04;A1_1_05;A1_1_06;A2_1_01;A2_1_02;A2_1_03;A2_1_04;A2_2_01;A2_2_02;A2_3_01;A2_3_02;A2_3_03;A3_1_01;A3_1_02;A3_1_03;A3_1_04;A4_1_01;A4_1_02;A4_1_03;A4_1_04;A4_1_05;A4_1_06;A4_2_01;A4_2_02;A4_2_03;A4_2_04;A4_2_05;A4_2_06;A4_2_07;A4_2_08;A4_2_09;A4_2_10;A4_2_11;A5_1_01;A5_1_02;A5_1_03;A5_1_04;A5_2_01;A5_2_02;A5_3_01;A5_3_02;A5_3_03;A5_3_04;A5_3_05;A5_3_06;A5_3_07;A5_3_08
107;Kapitalgesellschaft;Eigenständiges Unternehmen;Ja;bis zu 250 Mio. EUR;energie_industry sonstDL_industry masc_industry ;7;4;Nein;10;10;10;8;9;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;8;5;2;6;6;10;4;8;2;10;9;9;9;9;9;10;9;1;1;1;5;9;9;Keine Antwort;Keine Antwort;Keine Antwort;7;7;7;7;8;8;8;8;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort
108;Kapitalgesellschaft;Teilkonzernmutter;Ja;bis zu 250 Mio. EUR;masc_industry ;2;2;Nein;3;9;9;5;5;1;1;1;1;1;2;1;3;7;5;8;8;7;1;1;1;2;1;1;3;2;Keine Antwort;9;10;Keine Antwort;2;2;2;Keine Antwort;Keine Antwort;Keine Antwort;6;6;7;6;7;9;2;2;3;2;6;3;1;4
109;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;7;Nein;Keine Antwort;Keine Antwort;8;10;Keine Antwort;Keine Antwort;2;3;3;3;Keine Antwort;1;1;10;10;10;10;10;1;8;8;3;2;2;3;6;Keine Antwort;8;10;Keine Antwort;5;4;3;Keine Antwort;Keine Antwort;Keine Antwort;8;8;8;8;1;1;1;5;1;7;8;5;2;5
111;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Ja;10;10;10;3;Keine Antwort;Keine Antwort;10;10;10;10;7;1;1;1;1;3;10;7;1;10;10;10;8;9;8;7;10;1;1;Keine Antwort;Keine Antwort;8;8;9;Keine Antwort;1;10;10;10;10;1;10;3;7;2;1;8;8;8;9
112;Kapitalgesellschaft;Konzernmutter;Ja;bis zu 250 Mio. EUR;masc_industry ;10;10;Nein;5;10;10;2;9;1;9;8;7;2;8;5;6;7;8;9;2;8;10;9;8;8;8;8;10;9;5;9;2;9;2;7;8;9;9;9;8;8;8;8;10;10;10;8;8;2;10;8;10;10
114;Personengesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;masc_industry ;10;9;Nein;8;10;9;5;9;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;10;5;Keine Antwort;2;9;Keine Antwort;9;8;7;7;9;5;7;9;Keine Antwort;2;4;Keine Antwort;3;8;6;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;3;Keine Antwort;8;9;5;Keine Antwort;Keine Antwort;3;10;9;10;10
116;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;sons_industry ;10;10;Nein;Keine Antwort;10;10;8;Keine Antwort;Keine Antwort;8;8;8;8;10;1;2;2;2;4;3;Keine Antwort;2;9;9;Keine Antwort;7;7;3;7;9;2;2;Keine Antwort;7;7;6;Keine Antwort;Keine Antwort;Keine Antwort;8;8;8;8;10;10;10;7;Keine Antwort;4;9;7;Keine Antwort;Keine Antwort
118;Kapitalgesellschaft;Eigenständiges Unternehmen;Ja;bis zu 250 Mio. EUR;masc_industry ;3;5;Nein;7;10;10;3;10;Keine Antwort;4;4;4;10;5;5;1;3;1;7;4;5;2;8;7;5;6;6;6;8;8;3;4;9;7;7;4;5;9;9;8;8;8;4;8;9;9;9;9;5;7;9;9;9
119;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Nein;10;10;10;3;6;1;9;9;9;9;9;2;7;8;5;7;9;8;3;5;4;Keine Antwort;4;5;6;6;7;6;7;5;5;3;3;Keine Antwort;7;4;8;9;9;10;5;8;6;6;3;9;10;10;10;10
120;Kapitalgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Nein;10;10;10;4;10;1;1;4;4;8;10;1;1;1;1;10;Keine Antwort;Keine Antwort;Keine Antwort;10;7;3;6;6;10;10;1;1;5;Keine Antwort;8;8;3;10;1;1;10;10;10;10;1;8;1;1;10;3;7;8;9;10
121;Kapitalgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;8;Nein;10;10;10;1;9;Keine Antwort;3;9;8;9;9;1;8;3;2;9;8;9;5;6;6;3;3;2;8;8;4;7;9;2;3;4;6;Keine Antwort;Keine Antwort;2;7;6;3;8;9;10;3;4;6;7;5;7;2;6
123;Kapitalgesellschaft;Konzernmutter;Ja;bis zu 250 Mio. EUR;masc_industry ;10;6;Nein;10;10;9;2;Keine Antwort;Keine Antwort;10;10;10;8;9;Keine Antwort;1;Keine Antwort;Keine Antwort;8;1;Keine Antwort;9;10;7;8;9;9;9;9;8;7;1;Keine Antwort;Keine Antwort;7;8;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;2;9;10;10;2;8;8;2;Keine Antwort;2;Keine Antwort;8
125;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;sons_industry ;10;10;Nein;10;10;10;8;7;10;7;8;6;4;9;3;7;3;1;7;7;8;6;9;9;3;6;5;9;8;9;2;2;2;Keine Antwort;9;7;Keine Antwort;2;Keine Antwort;10;8;7;10;4;1;7;1;3;1;10;5;8;8
126;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;10;10;Nein;7;7;4;10;3;1;3;6;5;4;4;6;3;7;8;8;10;3;1;9;9;4;8;8;5;8;8;1;1;7;5;5;8;8;Keine Antwort;Keine Antwort;9;7;9;6;2;5;2;8;10;6;10;10;10;10
127;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;verarb_industry ;5;9;Nein;10;10;10;7;8;Keine Antwort;6;6;6;6;9;5;6;1;1;6;7;5;9;7;7;4;6;6;7;9;7;6;7;Keine Antwort;Keine Antwort;7;8;Keine Antwort;7;8;8;8;8;8;9;9;5;5;7;6;6;7;7;7
129;Mischgesellschaft;Konzernmutter;Ja;bis zu 250 Mio. EUR;masc_industry ;2;2;Ja;3;5;6;9;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;7;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;6;2;6;Keine Antwort;8;8;8;8;8;5;8;8;2;2;2;2;8;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort
130;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;auto_industry masc_industry ;10;10;Ja;6;10;10;1;8;10;10;10;5;8;10;1;1;6;6;3;2;3;9;10;6;5;4;4;8;6;1;1;10;Keine Antwort;Keine Antwort;6;10;Keine Antwort;10;Keine Antwort;8;8;8;8;5;10;10;4;3;1;10;Keine Antwort;10;10
133;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;10;10;10;7;Keine Antwort;Keine Antwort;4;4;4;4;10;1;1;1;1;2;8;Keine Antwort;4;8;6;4;4;3;4;7;4;6;3;Keine Antwort;3;4;4;Keine Antwort;Keine Antwort;5;4;4;4;4;8;8;3;2;2;3;3;7;4;4
134;Personengesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;sonstDL_industry sonstWirtDL_industry ;1;2;Keine Antwort;7;10;7;4;6;Keine Antwort;5;9;9;9;8;3;3;3;1;10;9;Keine Antwort;9;8;5;3;6;5;8;8;6;6;Keine Antwort;Keine Antwort;3;5;7;Keine Antwort;Keine Antwort;Keine Antwort;5;7;8;6;Keine Antwort;7;2;3;2;Keine Antwort;9;7;7;7
136;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;masc_industry ;Keine Antwort;Keine Antwort;Keine Antwort;8;10;10;Keine Antwort;Keine Antwort;Keine Antwort;10;10;10;10;10;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;10;10;10;10;10;10;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;10;10;10;10
137;Kapitalgesellschaft;Teilkonzernmutter;Ja;bis zu 250 Mio. EUR;masc_industry ;5;4;Keine Antwort;10;10;10;10;Keine Antwort;Keine Antwort;10;Keine Antwort;Keine Antwort;Keine Antwort;10;1;1;6;Keine Antwort;10;5;Keine Antwort;8;10;10;4;4;5;3;4;Keine Antwort;Keine Antwort;8;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;10;10;Keine Antwort;Keine Antwort;Keine Antwort;10;Keine Antwort;10;10;10;10;10;10;10
140;Mischgesellschaft;Eigenständiges Unternehmen;Ja;> 250-750 Mio. EUR;sonstDL_industry verarb_industry ;10;10;Nein;10;9;10;6;9;5;9;9;9;9;9;5;2;9;9;10;9;9;3;9;9;4;6;6;5;6;9;7;6;3;5;5;5;5;5;5;9;9;9;9;8;8;8;8;8;9;9;9;8;8
141;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;verarb_industry ;10;10;Nein;10;8;8;5;5;5;8;5;5;5;8;5;5;8;Keine Antwort;3;5;7;8;10;10;7;8;8;5;10;5;3;3;3;7;7;7;Keine Antwort;Keine Antwort;Keine Antwort;8;8;8;5;5;5;5;5;7;2;7;5;2;2
142;Personengesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;bau_industry ;7;4;Nein;10;8;8;10;5;5;8;8;8;8;8;5;6;3;3;3;3;5;7;9;9;9;9;9;9;9;9;2;3;2;5;9;9;8;3;3;9;9;9;9;10;10;6;6;6;6;9;8;10;10
143;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;auto_industry ;10;10;Nein;10;10;9;5;7;Keine Antwort;6;9;8;8;7;1;2;2;3;8;10;9;8;3;3;2;2;3;4;7;10;10;9;1;3;9;2;6;8;7;8;8;7;8;5;7;2;3;7;5;3;6;5;6
144;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;auto_industry ;10;10;Nein;9;10;10;3;10;1;1;10;9;10;9;5;Keine Antwort;Keine Antwort;Keine Antwort;3;8;5;1;6;6;5;4;3;6;6;7;7;7;9;5;4;5;3;4;4;10;10;3;3;9;9;1;1;1;1;Keine Antwort;Keine Antwort;1;9
145;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;bis zu 250 Mio. EUR;masc_industry ;10;10;Ja;10;10;10;9;Keine Antwort;Keine Antwort;10;1;1;10;10;1;1;1;10;5;1;3;10;9;3;3;7;7;7;8;5;10;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;10;Keine Antwort;10;10;10;10;10;10;10;10;10;10;10;10
146;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;auto_industry masc_industry ;10;10;Nein;10;10;10;2;5;3;10;10;10;10;10;8;6;9;3;8;8;4;3;7;8;4;4;4;7;10;9;4;4;2;2;3;2;2;1;1;10;8;1;8;10;10;8;8;9;7;Keine Antwort;6;9;10
148;Mischgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;auto_industry ;10;10;Nein;10;10;10;3;10;Keine Antwort;3;10;10;10;10;5;1;1;1;7;10;10;5;10;10;1;5;3;1;4;10;8;10;Keine Antwort;1;1;1;Keine Antwort;1;1;8;8;4;8;1;4;1;1;5;3;1;10;10;10
149;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;verarb_industry ;10;6;Nein;10;10;10;5;Keine Antwort;Keine Antwort;1;1;1;3;10;1;3;10;5;8;10;10;1;10;10;10;9;9;9;10;10;5;7;Keine Antwort;8;10;10;9;8;8;7;7;4;7;3;6;2;3;4;8;9;9;1;3
151;Mischgesellschaft;Konzernmutter;Ja;bis zu 250 Mio. EUR;sonstWirtDL_industry ;10;10;Nein;10;10;8;7;7;1;1;1;8;8;9;2;7;3;7;9;10;1;4;4;5;3;4;7;5;5;7;6;7;Keine Antwort;3;3;3;7;6;5;10;10;10;10;8;8;8;8;8;8;8;8;Keine Antwort;Keine Antwort
152;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 250-750 Mio. EUR;chem_industry ;8;10;Ja;10;10;10;4;10;1;5;5;5;5;10;1;1;1;1;7;2;10;1;10;8;8;5;3;8;6;8;5;3;5;2;5;7;3;Keine Antwort;Keine Antwort;10;10;6;6;5;5;5;5;4;6;8;4;5;8
155;Mischgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;masc_industry ;10;4;Nein;10;10;10;10;Keine Antwort;Keine Antwort;10;10;10;10;10;1;1;1;1;6;4;2;1;9;9;4;5;3;7;9;9;10;10;Keine Antwort;5;9;5;5;9;5;10;10;10;10;10;10;2;1;10;10;10;10;10;10
157;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;finanzVers_industry ;10;10;Ja;10;10;10;10;10;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;10;10;5;Keine Antwort;Keine Antwort;Keine Antwort;7;8;Keine Antwort;Keine Antwort;10;8;7;4;3;5;6;Keine Antwort;3;7;Keine Antwort;Keine Antwort;Keine Antwort;5;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;7;Keine Antwort;Keine Antwort;8;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort
161;Personengesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;phar_industry ;10;10;Keine Antwort;10;10;5;2;10;Keine Antwort;5;10;5;8;10;7;7;9;Keine Antwort;10;10;10;7;7;7;2;4;5;8;8;7;2;4;2;5;6;6;9;9;7;8;8;8;8;10;10;10;10;10;10;10;10;10;10
162;Kapitalgesellschaft;Konzernmutter;Ja;bis zu 250 Mio. EUR;masc_industry ;7;7;Nein;7;10;10;7;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;7;5;Keine Antwort;Keine Antwort;Keine Antwort;9;5;Keine Antwort;3;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;8;7;Keine Antwort;Keine Antwort;8;8;10;8;Keine Antwort;5;10;8;8;8
164;Kapitalgesellschaft;Konzernmutter;Ja;> 250-750 Mio. EUR;masc_industry ;10;10;Ja;9;7;7;2;3;Keine Antwort;5;5;5;5;9;1;6;7;3;10;6;8;4;8;7;3;2;5;7;3;8;6;5;3;1;3;4;10;10;2;8;8;8;8;10;10;7;7;9;8;10;8;10;10
171;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;sons_industry ;10;10;Ja;10;10;10;5;7;10;10;10;10;10;10;10;Keine Antwort;Keine Antwort;Keine Antwort;5;4;8;6;9;9;8;9;9;9;10;8;3;3;1;7;8;7;Keine Antwort;3;7;7;7;7;7;8;8;4;6;8;8;8;8;8;8
174;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;energie_industry ;8;8;Nein;7;10;9;3;7;10;3;7;7;7;8;8;7;10;10;6;8;10;8;5;7;4;5;5;4;7;9;4;8;9;4;6;5;10;4;4;10;7;10;7;10;10;10;10;10;10;10;10;10;10
175;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;10;10;10;6;Keine Antwort;7;4;8;8;8;8;3;3;3;3;10;10;8;4;7;2;1;3;3;6;7;9;8;9;Keine Antwort;3;5;3;Keine Antwort;Keine Antwort;6;9;7;9;7;7;5;6;6;7;7;Keine Antwort;8;6;6
176;Kapitalgesellschaft;Konzernmutter;Ja;> 250-750 Mio. EUR;masc_industry ;8;8;Nein;10;10;10;4;Keine Antwort;1;10;10;8;10;10;1;Keine Antwort;Keine Antwort;Keine Antwort;5;9;Keine Antwort;4;8;7;7;6;7;5;7;8;8;10;Keine Antwort;Keine Antwort;8;7;Keine Antwort;Keine Antwort;4;8;8;10;4;7;7;3;5;2;5;3;3;6;6
177;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;5;Nein;10;10;10;6;Keine Antwort;10;10;10;10;10;10;1;1;1;1;4;8;Keine Antwort;Keine Antwort;5;3;3;2;2;2;3;2;2;3;Keine Antwort;1;3;3;Keine Antwort;Keine Antwort;2;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;5;6;Keine Antwort;Keine Antwort;2;2;Keine Antwort;1;1;1
180;Kapitalgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;8;10;10;3;8;Keine Antwort;1;10;10;10;10;1;10;1;5;5;1;Keine Antwort;1;8;8;3;5;3;5;5;8;8;8;8;1;1;5;1;1;1;9;9;9;9;10;10;10;8;10;8;10;9;10;10
181;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;6;10;Nein;8;10;9;3;6;8;8;7;7;8;8;4;3;3;3;7;5;8;4;8;6;7;4;5;5;7;4;3;3;3;3;6;7;7;6;6;9;9;9;8;9;9;8;7;8;9;10;10;10;10
182;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;5;5;Nein;9;10;10;2;7;7;5;5;5;5;8;5;7;5;5;10;8;8;7;7;7;7;5;5;5;7;9;4;4;Keine Antwort;5;5;6;Keine Antwort;Keine Antwort;Keine Antwort;7;8;8;8;5;8;4;Keine Antwort;8;7;8;8;8;8
187;Kapitalgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;1;Nein;10;10;10;3;8;Keine Antwort;1;10;10;10;10;5;10;1;5;5;1;1;Keine Antwort;8;8;3;3;3;5;5;8;5;8;Keine Antwort;3;3;5;3;3;3;8;10;3;10;10;10;8;6;8;7;10;8;7;10
189;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;phar_industry ;10;10;Nein;10;9;9;9;8;8;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;10;Keine Antwort;4;9;Keine Antwort;10;10;Keine Antwort;2;3;3;3;2;3;7;10;1;10;9;Keine Antwort;Keine Antwort;2;2;Keine Antwort;Keine Antwort;Keine Antwort;9;9;9;9;2;2;5;5;5;9;9;9;2;9
190;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;phar_industry ;10;10;Nein;10;10;10;3;7;10;2;2;2;2;9;3;3;2;2;6;10;5;1;3;2;2;1;1;3;2;9;7;10;6;7;2;3;9;8;8;4;4;9;8;10;10;3;3;6;6;4;4;4;5
191;Mischgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;gesu_industry phar_industry ;10;10;Keine Antwort;10;10;10;3;Keine Antwort;10;10;10;10;10;10;2;Keine Antwort;Keine Antwort;Keine Antwort;5;10;Keine Antwort;2;10;9;2;3;Keine Antwort;10;10;Keine Antwort;4;8;Keine Antwort;1;3;3;Keine Antwort;10;10;5;5;5;5;10;10;2;2;2;2;10;7;9;9
192;Personengesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;phar_industry ;10;10;Nein;10;10;10;7;Keine Antwort;Keine Antwort;5;10;10;10;10;5;Keine Antwort;Keine Antwort;Keine Antwort;7;10;10;5;8;6;2;4;4;3;3;8;8;10;Keine Antwort;1;4;4;Keine Antwort;6;6;2;3;3;3;1;1;1;5;8;5;10;8;10;10
195;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;finanzVers_industry ;10;8;Nein;10;10;10;2;8;10;9;10;8;10;8;5;5;7;8;Keine Antwort;7;Keine Antwort;5;10;5;6;7;7;8;9;9;5;6;Keine Antwort;6;6;7;Keine Antwort;4;8;7;5;8;4;Keine Antwort;7;3;7;6;6;5;7;8;8
196;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry verk_industry ;10;10;Keine Antwort;10;10;10;5;Keine Antwort;1;10;10;10;10;10;7;5;5;1;4;5;Keine Antwort;2;9;9;5;6;6;Keine Antwort;7;9;2;3;3;3;2;4;Keine Antwort;Keine Antwort;Keine Antwort;8;8;3;8;9;9;5;7;7;9;9;9;10;10
202;Kapitalgesellschaft;Konzernmutter;Ja;bis zu 250 Mio. EUR;sons_industry ;5;5;Nein;1;5;4;8;3;5;5;5;5;5;3;3;2;2;2;8;1;5;7;7;7;6;8;8;5;8;8;1;1;1;1;9;10;Keine Antwort;Keine Antwort;Keine Antwort;8;8;8;8;Keine Antwort;10;8;9;10;10;10;10;10;10
211;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;10;10;10;3;10;10;2;3;3;3;10;3;1;3;3;4;10;8;2;9;9;7;9;8;8;9;10;2;2;2;5;8;8;Keine Antwort;Keine Antwort;Keine Antwort;9;9;9;9;6;6;6;7;7;5;8;4;7;7
216;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;10;10;10;9;5;2;1;1;1;1;9;1;2;6;1;Keine Antwort;5;8;Keine Antwort;2;1;2;2;2;3;3;2;6;9;Keine Antwort;6;6;7;Keine Antwort;Keine Antwort;5;9;5;3;7;6;3;2;6;6;2;7;5;2;6
217;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;10;10;10;10;10;1;5;10;8;9;10;5;7;5;5;1;7;10;8;10;10;8;9;9;10;10;9;4;1;5;10;9;7;10;6;6;8;8;1;Keine Antwort;8;10;9;Keine Antwort;9;3;9;3;Keine Antwort;9